Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks,Days_to_Maturity,Days_in_ripening_shed
Sendusu,SE201901_(162873C1/132635),Enzirabahima_14_Phase1_R26C18,ITC1354,1,17-7197-2_R12C2_plot167,7197-2,2018-10-16,,,,,,,,,,,,
Sendusu,SE201901_(162889C1/132625),Entukura_14_Phase1_R6C4,Entukura,1,17-SH3362_R19C7_plot277,SH3362,2019-01-21,,,,,,,,,,,,
Sendusu,SE201901_(162921C1/132316),Nfuuka_14_Phase1_R15C2,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2019-01-17,,,,,,,,,,,,
Sendusu,SE201901_(162945C1/132433),Entukura_14_Phase2_R6C7,Entukura,1,17-5265-1_R8C8_plot113,TMB2X5265-1,2019-01-15,,,,,,,,,,,,
Sendusu,SE201901_(162983C1/132425),Nakyetengu_14_Phase2_R9C10,IITA-Nakyetengu,1,17-9128-3_R5C1_plot61,9128-3,2018-10-16,,,,,,,,,,,,
Sendusu,SE201901_(163002C1/132635),Nakasabira_14_Phase2_R33C6,Nakasabira,1,17-7197-2_R12C2_plot167,7197-2,2019-01-15,,,,,,,,,,,,
Sendusu,SE201901_(163003C1/132625),Nakasabira_14_Phase2_R31C8,Nakasabira,1,17-SH3362_R19C7_plot277,SH3362,2018-11-14,2019-02-11,,,,,,,,,,89,
Sendusu,SE201901_(163020C1/132512),Nakasabira_14_Phase2_R32C3,Nakasabira,1,17-7197-2_R12C4_plot169,7197-2,2018-10-31,,,,,,,,,,,,
Sendusu,SE201901_(163058C1/132381),Tereza_14_Phase2_R16C9,Tereza,1,17-8075-7_R2C9_plot24,8075-7,2019-01-19,,,,,,,,,,,,
Sendusu,SE201901_(163080C1/132576),Tereza_14_Phase2_R16C1,Tereza,1,17-SH3362_R18C13_plot268,SH3362,2019-01-18,,,,,,,,,,,,
Sendusu,SE201901_(163108C1/132505),Nfuuka_14_Phase2_R13C10,Nfuuka,1,17-SH3217_R13C3_plot183,SH3217,2018-10-31,,,,,,,,,,,,
